mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,par_name,eta_fctr,background_library,background_line,driver,construct_line,sex_test,time_id,month_id,driver_present,rnai_construct_present,driver_id,sex_id,background_id,uniq_construct_id,experiment_count,offspring_produced,gene_name,fbgn,vdrc_id,gene_origin,gene_age,chromosome,model_index
0.06797331811971072,0.0045673167726596065,0.23097724986730095,-0.37551732764935236,-0.08652188824541565,0.06413264133179138,0.22421823188760331,0.5252451518772207,2557.50295813668,0.9997133973941029,etas[1],2,GD,808,Nos-GAL4,11,female,14,6,TRUE,TRUE,1,1,1,2,30,1267,CG16931,FBgn0004588,23534 GD and 106010 KK,D,11-25MYA,3,1
-0.13568555556979622,0.004105163776307993,0.2334665091474208,-0.575292312298167,-0.30053291293314494,-0.1411711548768865,0.022611703401584603,0.3401258509828717,3234.3588521489046,1.0003690966828402,etas[2],3,GD,808,Nos-GAL4,12,female,19,1,TRUE,TRUE,1,1,1,3,30,1199,CG18125,FBgn0264253,47673 GD,D,11-25MYA,2,1
-0.09744714013608545,0.00472029867092876,0.23800007884848212,-0.5609987805932004,-0.2568579157808889,-0.10068787466316353,0.06248289400395893,0.37831173007799457,2542.232368526678,0.9997005808171113,etas[3],4,GD,808,Nos-GAL4,13,female,14,6,TRUE,TRUE,1,1,1,4,30,1076,CG31918,FBgn0031678,13220 GD,D,11-25MYA,2,1
-0.22825188275510527,0.003898285743470693,0.23485969901705137,-0.6789099910842971,-0.3853638506384328,-0.22854185205778169,-0.07392222844368887,0.24141621179325373,3629.6910509037702,0.999851153034667,etas[4],5,GD,808,Nos-GAL4,14,female,19,1,TRUE,TRUE,1,1,1,5,28,1024,CG31720,FBgn0051720,51461 GD,D,11-25MYA,2,1
-0.06922171971627832,0.004290516015555107,0.23194599664985918,-0.5168176210986513,-0.22616418863636922,-0.06940218954485534,0.08178992687347036,0.3939614190607371,2922.5012612562896,1.0004380914288007,etas[5],6,GD,808,Nos-GAL4,19,female,20,1,TRUE,TRUE,1,1,1,9,30,1901,CG14027,FBgn0031701,6957 GD and 106727 KK,D,6-11MYA,2,1
0.04813058627955519,0.004093407623629722,0.23350162781811312,-0.3986811855547437,-0.10767874464819352,0.04399620236347696,0.2044307554380656,0.5171305888661185,3253.9422198697853,0.9996273641120856,etas[6],7,GD,808,Nos-GAL4,2,female,19,1,TRUE,TRUE,1,1,1,10,30,1441,CG7815,FBgn0036497,22567 GD and 109695 KK,R,6-11MYA,3,1
-0.07514219615468783,0.004352985558272924,0.23330645960982652,-0.5343675181285137,-0.22965246465712763,-0.07742994306599699,0.08212911489500972,0.3901540433415763,2872.625915147537,0.9998787643567072,etas[7],8,GD,808,Nos-GAL4,20,female,14,6,TRUE,TRUE,1,1,1,11,30,1099,CG31941,FBgn0043539,31141 GD,D,6-11MYA,2,1
-0.00905923597058388,0.0042970052351476735,0.22793448197000432,-0.44141874751077237,-0.16413141509078166,-0.013732188652990383,0.13945588968776174,0.45598199453295307,2813.7680567315338,1.0005410137261916,etas[8],9,GD,808,Nos-GAL4,21,female,20,1,TRUE,TRUE,1,1,1,12,30,2015,CG33490,FBgn0053490,22221 GD and 101678 KK,D,11-25MYA,3,1
0.03944155985366211,0.004693551697317906,0.23717928044608305,-0.40892341965228435,-0.12173888718663958,0.03710754391237896,0.20352940723286275,0.5073900886472825,2553.5847893702885,1.000078401973199,etas[9],10,GD,808,Nos-GAL4,22,female,14,6,TRUE,TRUE,1,1,1,13,28,1146,CG5609,FBgn0038838,51124 GD,D,6-11MYA,3,1
-0.024130071151092527,0.0042810425038976975,0.2238017637586918,-0.4524614318329789,-0.17481695462328573,-0.03037926802318126,0.1278398949720343,0.4319320564718329,2732.9263643028703,1.0000496172967395,etas[10],11,GD,808,Nos-GAL4,23,female,18,1,TRUE,TRUE,1,1,1,14,30,1251,CG4712,FBgn0033818,21925 GD,D,11-25MYA,2,1
